자연어 쿼리,tagging된 자연어 쿼리,활용 여부,DB Query,,,
What is the name of band Freddie Mercury played in?,What is the name of band <PERSON> played in?,O,match (n:Human)-[r:PART_OF]-(m:RockBand) where n.name=<PERSON> return m.name,,,
what is the name of justin bieber brother?,what is the name of <PERSON> brother?,O,match (p:Human)-[r:SIBLING]->(s:Human) where p.name=<PERSON> return s.name,,,
what country is the grand bahama island in?,what country is the <LOCATION> in?,O,match (loc)-[:COUNTRY]->(country) where loc.name=<LOCATION> return country.name ,,,
what kind of money to take to bahamas?,what kind of money to take to <LOCATION>?,O,match (loc)-[:CURRENCY]->(currency) where loc.name=<LOCATION> return currency.name,,,
who does joakim noah play for?,who does <PERSON> play for?,O,match (h:Human)-[:MEMBER_OF]->(b) where h.name=<PERSON> return b.name,,,
where are the nfl redskins from?,where are the <ORGANIZATION> from?,O,match (org)-[:LOCATION_OF_FORMATION]->(loc) where org.name=<ORGANIZATION> return loc.name,,,
how old is sacha baron cohen?,how old is <PERSON>?,O,match (h:Human) where h.name=<PERSON> return h.dateOfBirth,,,
what time zone am i in cleveland ohio?,what time zone am i in <LOCATION>?,O,match (location)-[:LOCATED_IN_TIME_ZONE]->(tz) where location.name=<LOCATION> return tz.name,,,
who did draco malloy end up marrying?,who did <PERSON> end up marrying?,O,match (m:Human)-[:SPOUSE]->(s:Human) where m.name=<PERSON> return s.name,,,
which countries border the us?,which countries border the <LOCATION>?,O,match (c)-[:SHARES_BORDER_WITH]->(n) where c.name=<LOCATION> return n.name,,,
where is rome italy located on a map?,where is <LOCATION> located on a map?,O,match (c) where c.name=<LOCATION> return c.locatorMapImage; match(c) where c.name=<LOCATION> return c.locationMap,,,
what is nina dobrev nationality?,what is <PERSON> nationality?,O,match (h)-[:COUNTRY_OF_CITIZENSHIP]->(c) where h.name=<PERSON> return c.name,,,
what country does iceland belong to?,what country does <LOCATION> belong to?,O,match (loc)-[:COUNTRY]->(country) where loc.name=<LOCATION> return country.name ,,,
which kennedy died first?,which <PERSON> died <ORDINAL>?,O,"match (m:Human)-[:PART_OF]->(q:RockBand {name:'Queen'}) with m, min(m.dateOfDeath) as mdd  where m.dateOfDeath = mdd return m.name",,,
